Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
1cv8c.exe                    11456 Console                    1    906В 976 K
1cv8c.exe                    13964 Console                    1    552В 432 K
AggregatorHost.exe            6972 Services                   0      9В 368 K
ApplicationFrameHost.exe     10068 Console                    1     47В 136 K
audiodg.exe                  19360 Services                   0     16В 976 K
avp.exe                       3612 Services                   0    196В 356 K
avp.exe                       6004 Services                   0      9В 660 K
avpui.exe                     4748 Console                    1     16В 020 K
backgroundTaskHost.exe        2868 Console                    1      1В 292 K
browser.exe                   1924 Console                    1     47В 264 K
browser.exe                   2300 Console                    1      8В 092 K
browser.exe                   4712 Console                    1     29В 132 K
browser.exe                   5544 Console                    1     22В 728 K
browser.exe                   8652 Console                    1     41В 608 K
browser.exe                  13392 Console                    1     69В 112 K
browser.exe                  13748 Console                    1     19В 756 K
browser.exe                  17608 Console                    1     18В 196 K
browser.exe                  18816 Console                    1    145В 096 K
chrome.exe                    5812 Console                    1      8В 432 K
chrome.exe                    8204 Console                    1    139В 076 K
chrome.exe                    8464 Console                    1     19В 164 K
chrome.exe                   13656 Console                    1     90В 236 K
chrome.exe                   14372 Console                    1     41В 640 K
chrome.exe                   14380 Console                    1     70В 276 K
chrome.exe                   14620 Console                    1     46В 232 K
chrome.exe                   14940 Console                    1    111В 308 K
chrome.exe                   19480 Console                    1     26В 916 K
chrome.exe                   20188 Console                    1     81В 588 K
cmd.exe                      17212 Console                    1      8В 844 K
conhost.exe                   3012 Services                   0      8В 144 K
conhost.exe                   4804 Console                    1      9В 728 K
conhost.exe                   6544 Services                   0      4В 828 K
conhost.exe                   8400 Services                   0      5В 100 K
CrossDeviceResume.exe         7596 Console                    1     29В 528 K
CrossDeviceService.exe        6652 Console                    1     50В 160 K
csrss.exe                      928 Services                   0      5В 660 K
csrss.exe                     1020 Console                    1      5В 888 K
ctfmon.exe                   10980 Console                    1     25В 452 K
DataExchangeHost.exe         16532 Console                    1     28В 556 K
dbda.exe                      5412 Services                   0     26В 856 K
dllhost.exe                   9224 Services                   0      5В 732 K
dwm.exe                       1500 Console                    1    161В 024 K
explorer.exe                  6952 Console                    1    373В 620 K
explorer.exe                 14772 Console                    1    131В 140 K
fontdrvhost.exe               1244 Console                    1      6В 656 K
fontdrvhost.exe               1248 Services                   0      2В 036 K
gitlab-runner.exe             3820 Services                   0     36В 348 K
igfxCUIServiceN.exe           2484 Services                   0      6В 384 K
igfxEMN.exe                   1188 Console                    1      9В 248 K
IntelCpHDCPSvc.exe            1780 Services                   0      3В 572 K
IpOverUsbSvc.exe              3780 Services                   0      8В 468 K
jhi_service.exe               3864 Services                   0      4В 464 K
Lightshot.exe                12324 Console                    1     10В 716 K
lsass.exe                     1088 Services                   0     25В 256 K
Memory Compression            2356 Services                   0    780В 880 K
Microsoft.Media.Player.ex      940 Console                    1    334В 384 K
msedge.exe                   12944 Console                    1     34В 956 K
msedge.exe                   13284 Console                    1     34В 828 K
msedge.exe                   13812 Console                    1     17В 516 K
msedge.exe                   15176 Console                    1      8В 716 K
msedge.exe                   20192 Console                    1    106В 056 K
msedgewebview2.exe            2916 Console                    1      5В 564 K
msedgewebview2.exe            3376 Console                    1         28 K
msedgewebview2.exe            6620 Console                    1     53В 796 K
msedgewebview2.exe            7128 Console                    1        544 K
msedgewebview2.exe            7548 Console                    1      1В 872 K
msedgewebview2.exe            7744 Console                    1      4В 268 K
msedgewebview2.exe            8036 Console                    1     10В 216 K
msedgewebview2.exe            8056 Console                    1     55В 432 K
msedgewebview2.exe            9712 Console                    1     22В 932 K
msedgewebview2.exe            9924 Console                    1     64В 024 K
msedgewebview2.exe           10056 Console                    1      5В 380 K
msedgewebview2.exe           10384 Console                    1     24В 780 K
msedgewebview2.exe           10636 Console                    1     11В 108 K
msedgewebview2.exe           10660 Console                    1     70В 972 K
msedgewebview2.exe           10844 Console                    1     43В 748 K
msedgewebview2.exe           11744 Console                    1      7В 176 K
msedgewebview2.exe           12132 Console                    1     92В 704 K
msedgewebview2.exe           12176 Console                    1      5В 492 K
msedgewebview2.exe           12364 Console                    1     43В 300 K
mstsc.exe                    17700 Console                    1    319В 776 K
MTS Link.exe                  1652 Console                    1     43В 748 K
MTS Link.exe                  4044 Console                    1     17В 080 K
MTS Link.exe                  9260 Console                    1     27В 328 K
MTS Link.exe                 12004 Console                    1     65В 500 K
OneApp.IGCC.WinService.ex     3684 Services                   0     26В 776 K
ragent.exe                    4808 Services                   0     36В 672 K
Registry                       124 Services                   0     58В 572 K
RemoteDesktopManager.exe     11276 Console                    1     76В 980 K
rmngr.exe                     6464 Services                   0     62В 576 K
rphost.exe                    8380 Services                   0     69В 696 K
RtkBtManServ.exe              3900 Services                   0      4В 968 K
RuntimeBroker.exe             2724 Console                    1     46В 568 K
RuntimeBroker.exe             7436 Console                    1      8В 132 K
RuntimeBroker.exe             9288 Console                    1     26В 048 K
RuntimeBroker.exe             9348 Console                    1     23В 040 K
RuntimeBroker.exe            12864 Console                    1     11В 496 K
SearchFilterHost.exe         13672 Services                   0     11В 512 K
SearchFilterHost.exe         17748 Services                   0     12В 228 K
SearchHost.exe                7296 Console                    1     69В 368 K
SearchIndexer.exe            10848 Services                   0     33В 268 K
SearchProtocolHost.exe        6212 Services                   0     16В 324 K
SecurityHealthService.exe    11752 Services                   0     21В 104 K
SecurityHealthSystray.exe    11720 Console                    1      7В 544 K
service_update.exe            4140 Services                   0     10В 148 K
service_update.exe            4512 Services                   0      5В 080 K
