
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:56326        127.0.0.1:56327        ESTABLISHED     3612
  TCP    127.0.0.1:56327        127.0.0.1:56326        ESTABLISHED     3612
  TCP    127.0.0.1:62153        127.0.0.1:1565         TIME_WAIT       0
  TCP    127.0.0.1:62161        127.0.0.1:1565         TIME_WAIT       0
  TCP    127.0.0.1:62179        127.0.0.1:1565         TIME_WAIT       0
  TCP    192.168.0.101:49863    23.210.252.238:80      CLOSE_WAIT      2868
  TCP    192.168.0.101:56334    81.19.104.253:443      ESTABLISHED     3612
  TCP    192.168.0.101:56355    149.154.167.41:443     ESTABLISHED     1260
  TCP    192.168.0.101:56382    64.233.164.188:443     ESTABLISHED     8652
  TCP    192.168.0.101:56383    213.180.204.179:443    ESTABLISHED     8652
  TCP    192.168.0.101:58124    4.207.247.139:443      ESTABLISHED     4056
  TCP    192.168.0.101:58748    85.91.118.27:443       ESTABLISHED     17700
  TCP    192.168.0.101:59016    79.133.169.21:443      ESTABLISHED     3612
  TCP    192.168.0.101:59244    79.133.168.12:443      ESTABLISHED     3612
  TCP    192.168.0.101:59440    64.233.164.188:5228    ESTABLISHED     14372
  TCP    192.168.0.101:60596    149.28.200.27:22224    FIN_WAIT_2      14372
  TCP    192.168.0.101:60740    213.180.193.234:443    ESTABLISHED     8652
  TCP    192.168.0.101:61000    208.167.239.197:22224  FIN_WAIT_2      14372
  TCP    192.168.0.101:61587    45.77.204.166:22224    FIN_WAIT_2      14372
  TCP    192.168.0.101:61594    149.28.194.222:22224   FIN_WAIT_2      14372
  TCP    192.168.0.101:61662    213.180.193.234:443    ESTABLISHED     8652
  TCP    192.168.0.101:61839    208.167.239.197:22224  FIN_WAIT_2      14372
  TCP    192.168.0.101:62134    77.88.55.242:443       ESTABLISHED     8652
  TCP    192.168.0.101:62169    149.154.162.123:443    TIME_WAIT       0
  TCP    192.168.0.101:62170    149.154.162.123:80     TIME_WAIT       0
  TCP    192.168.0.101:62176    79.133.171.16:443      ESTABLISHED     3612
  TCP    192.168.0.101:62177    79.133.169.24:443      ESTABLISHED     3612
  TCP    192.168.0.101:62180    79.133.171.19:443      ESTABLISHED     3612
  TCP    [::1]:48002            [::1]:60453            ESTABLISHED     13964
  TCP    [::1]:60453            [::1]:48002            ESTABLISHED     11456
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:1541  [fe80::ee33:8fbd:e5be:4cd2%18]:56344  ESTABLISHED     6464
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:1541  [fe80::ee33:8fbd:e5be:4cd2%18]:62132  ESTABLISHED     6464
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:1541  [fe80::ee33:8fbd:e5be:4cd2%18]:62144  ESTABLISHED     6464
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:1541  [fe80::ee33:8fbd:e5be:4cd2%18]:62146  ESTABLISHED     6464
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:1541  [fe80::ee33:8fbd:e5be:4cd2%18]:62147  ESTABLISHED     6464
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:1541  [fe80::ee33:8fbd:e5be:4cd2%18]:62148  ESTABLISHED     6464
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:1541  [fe80::ee33:8fbd:e5be:4cd2%18]:62150  ESTABLISHED     6464
  TCP    [fe80::ee33:8fbd:e5be:4cd2%18]:1541  [fe80::ee33:8fbd:e5be:4cd2%18]:62151  ESTABLISHED     6464
